ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,2018/02/05,2018/06/28 22:04:56,35.947,32.924,14.487,13.675,12.747,11.957,11.057,12.903,11.816,12.816,16.657,28.267,8.159,8.013,9.184,4.017,8.922,11.909,11.326,8.897,10.962,7.853,4.512,9.411,8.503,5.034,5.420,5.880,3.202,5.105,3.179,7.426,2.963,4.021,2.990,5.928,3.864,8.582,12.691,12.971,16.229,28.799,30.463,74.982,105.018,84.037,51.377,54.396,2,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/06,2018/06/28 22:04:56,48.114,35.412,20.939,13.428,12.287,14.476,11.572,6.576,13.142,20.005,27.214,27.470,15.599,8.618,4.241,6.812,8.896,10.717,13.024,14.487,10.520,9.737,8.863,6.434,6.586,6.266,5.436,7.707,9.396,4.662,2.948,2.937,4.546,3.843,6.217,6.585,9.469,1.919,12.240,12.869,21.573,22.287,32.611,80.595,93.494,72.509,54.751,49.423,3,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/07,2018/06/28 22:04:56,49.575,36.496,21.914,16.544,8.890,7.940,11.439,13.131,12.978,15.067,17.104,25.946,9.794,8.529,10.043,5.596,6.357,7.076,8.198,6.111,6.561,5.198,4.417,4.147,8.313,4.487,2.933,5.293,2.707,2.585,3.649,7.287,4.539,6.692,5.775,6.028,3.593,3.976,10.547,11.787,17.707,25.875,31.196,77.263,97.765,83.924,66.218,57.287,4,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/08,2018/06/28 22:04:56,50.483,37.533,23.424,19.684,16.996,14.068,16.648,10.138,16.761,15.380,21.261,24.889,9.828,6.941,5.158,3.553,11.142,15.287,6.692,8.905,9.078,7.008,6.490,5.752,9.441,6.791,2.910,2.076,5.101,3.889,3.498,3.093,2.150,3.168,3.757,4.227,4.603,7.495,9.296,15.602,22.066,21.871,23.399,70.022,91.809,74.145,55.284,54.706,5,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/09,2018/06/28 22:04:56,46.251,34.081,24.858,11.555,13.424,10.238,14.263,10.296,17.520,20.089,18.825,19.266,11.103,6.975,14.911,6.005,6.465,8.455,6.074,5.534,10.284,7.221,5.587,3.376,5.724,7.065,2.700,4.589,4.505,7.603,6.044,4.829,2.430,3.170,5.877,8.428,5.885,6.903,9.589,14.516,14.112,19.718,22.253,67.358,80.752,68.001,56.013,48.419,6,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/10,2018/06/28 22:04:56,48.404,31.537,19.198,14.700,10.263,12.036,7.731,13.692,10.494,15.284,8.857,16.819,22.666,20.731,21.824,15.430,22.649,21.095,30.157,30.129,28.474,16.067,19.373,14.514,17.999,16.510,14.925,14.938,13.578,20.523,10.482,9.617,9.709,8.859,10.057,13.025,6.940,6.814,15.357,18.193,15.031,17.098,21.560,47.782,53.295,30.710,24.594,23.546,7,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/11,2018/06/28 22:04:56,28.287,22.204,16.227,14.403,10.414,9.637,8.428,11.865,11.688,11.610,5.494,10.750,27.268,26.089,25.597,29.134,20.561,25.308,17.012,17.471,24.401,26.355,21.129,22.486,9.470,16.217,22.563,23.358,19.287,18.743,18.008,10.481,8.817,14.648,14.758,10.867,11.975,14.446,14.503,13.247,14.972,16.543,19.323,51.439,50.033,36.529,18.254,28.668,1,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/12,2018/06/28 22:04:56,26.707,21.171,21.687,9.750,12.394,13.235,8.315,10.823,6.593,16.467,22.568,23.690,10.481,5.249,1.658,5.944,14.029,11.632,7.065,10.850,8.003,8.408,4.873,5.168,3.127,3.873,3.041,2.543,2.956,5.057,5.122,7.024,3.300,5.220,4.045,5.057,6.182,3.215,10.826,11.145,18.047,29.177,27.174,65.122,103.372,79.719,64.171,47.950,2,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/13,2018/06/28 22:04:56,47.013,33.099,24.814,19.253,13.378,10.708,13.808,16.995,19.508,15.753,16.864,21.589,9.314,13.439,5.732,5.703,6.217,9.406,8.812,5.952,9.052,6.939,6.747,7.780,8.147,2.617,3.303,3.695,3.034,8.315,2.159,5.462,3.803,4.126,5.145,3.413,3.893,4.911,12.996,12.333,20.098,27.466,23.684,65.788,100.873,73.094,53.178,48.737,3,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/14,2018/06/28 22:04:56,45.574,30.285,12.809,13.718,19.265,7.304,12.237,16.785,16.545,16.747,19.610,26.418,10.814,11.808,6.573,4.577,5.842,9.808,8.741,12.819,4.687,6.272,4.490,4.527,8.197,5.337,1.211,1.779,3.378,2.631,3.381,5.542,3.444,5.106,7.251,4.924,4.419,4.669,14.286,12.448,18.349,28.736,29.555,65.196,93.491,72.615,44.370,40.312,4,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/15,2018/06/28 22:04:56,43.736,28.638,19.043,13.550,10.961,15.895,12.653,8.380,14.917,23.255,27.504,24.236,9.499,7.329,8.449,5.577,6.182,12.269,6.737,11.185,9.943,9.845,9.674,9.367,5.912,4.453,2.937,2.948,3.088,4.832,5.725,5.771,1.432,1.651,4.060,5.391,5.472,7.245,12.161,17.912,15.694,24.980,24.138,67.705,93.762,81.118,60.688,59.084,5,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/16,2018/06/28 22:04:56,49.545,26.453,14.741,18.628,10.608,10.305,12.455,10.663,14.260,21.182,22.626,26.676,13.333,11.025,8.299,4.724,7.501,13.811,9.822,8.565,8.021,6.463,7.158,3.725,5.869,7.625,5.209,3.124,4.226,2.785,5.046,1.803,2.201,2.510,3.549,7.133,7.207,3.532,6.750,12.461,12.626,21.790,25.196,65.590,94.804,70.844,52.491,54.086,6,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/17,2018/06/28 22:04:56,54.614,32.709,18.533,19.326,16.728,12.386,13.408,10.277,10.725,17.992,19.175,13.831,23.890,26.907,19.602,23.032,29.052,30.942,27.662,19.043,24.782,26.919,23.659,23.333,21.611,15.705,11.570,8.986,14.921,13.145,8.849,8.990,5.703,6.638,9.792,10.569,13.987,14.808,15.715,13.923,15.420,19.164,18.782,40.532,46.640,25.308,21.555,21.071,7,N,6628
CLOADNSWCE,COUNTRYENERGY,2018/02/18,2018/06/28 22:04:56,28.369,21.683,13.821,10.562,6.928,5.654,8.726,7.834,8.839,13.045,13.501,9.464,16.229,27.113,25.679,30.501,18.753,24.487,27.595,17.404,25.355,20.818,18.230,18.226,17.935,18.598,20.379,12.799,22.476,15.699,11.448,7.116,10.093,7.851,10.234,13.957,15.277,12.236,22.964,17.316,14.221,19.119,23.805,50.523,53.248,37.477,21.010,20.665,1,N,6628
